idx,x,y,u,v,ok,confidence,std_u,std_v,timestamp,n_valid,image_path,overlay_path,mask_path
35,0.928125,0.0409375,600.771589991929,435.25504439063764,1,0.0,0.1263729843795981,0.10300457531875391,1775093899.799092,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\images\0035.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\overlays\0035_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\masks\0035_mask.png
36,0.8971875,0.0409375,601.646875,421.6125,1,0.0,0.12798873666104266,0.057149041980875344,1775093908.5920932,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\images\0036.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\overlays\0036_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\masks\0036_mask.png
37,0.86625,0.0409375,600.6500415627597,408.7553897180763,1,0.0,0.025620114411453915,0.3410088996699381,1775093917.416182,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\images\0037.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\overlays\0037_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\masks\0037_mask.png
38,0.8353125,0.0409375,600.6938110749186,394.2382495948136,1,0.0,0.09736755446069735,0.0660983895173885,1775093926.6089685,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\images\0038.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\overlays\0038_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\masks\0038_mask.png
39,0.804375,0.0409375,600.9199346405229,380.77777777777777,1,0.0,0.049536475180667075,0.03494460122170667,1775093935.4880161,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\images\0039.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\overlays\0039_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\masks\0039_mask.png
40,0.7734375,0.0409375,601.5139103554868,366.91090629800306,1,0.0,0.1567536541722195,0.02628250003468828,1775093944.1355586,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\images\0040.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\overlays\0040_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\masks\0040_mask.png
41,0.7424999999999999,0.0409375,601.5348484848485,352.71569370735403,1,0.0,0.0449429874865195,0.05355455705192364,1775093952.8968098,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\images\0041.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\overlays\0041_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\masks\0041_mask.png
42,0.7115625,0.0409375,601.9148119723715,339.771714066103,1,0.0,0.11931505330296335,0.07051847192970005,1775093961.5058439,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\images\0042.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\overlays\0042_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\masks\0042_mask.png
43,0.680625,0.0409375,601.1081081081081,326.36655948553056,1,0.0,0.122915982927105,0.4217288909663271,1775093970.2066305,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\images\0043.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\overlays\0043_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\masks\0043_mask.png
44,0.6496875,0.0409375,601.498001598721,312.97042366107115,1,0.0,0.05256265568154193,0.06634150708933916,1775093979.0927963,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\images\0044.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\overlays\0044_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\masks\0044_mask.png
